"Freq"	"predicted_Idc"	"predicted_Zphz"
7942.6	-0.000174758121619033	-7.2994986094788
6311.1	-0.000157706622206477	-7.47303750171842
5011.18	-0.000147028722775248	-7.73696360601779
3980.93	-0.0001314878380983	-7.86810688802064
3162.67	-0.000112862321312599	-8.19492907283101
2511.16	-9.80898582527558e-05	-8.17399229279274
1995.37	-8.82648306344719e-05	-8.25127314245716
1584.49	-7.6007369402789e-05	-8.40867158111238
1259.04	-6.81228541927605e-05	-8.58397331050351
999.95	-6.21540519653375e-05	-8.68102547267983
794.163	-5.35126194468246e-05	-8.74570489364889
630.984	-4.20712769388179e-05	-8.73497122159997
501.303	-4.26382297062895e-05	-8.87943264217087
398.209	-3.5927182729502e-05	-9.09496405499059
316.113	-2.65224874195788e-05	-9.17482884289985
251.185	-2.37010952614256e-05	-9.21101192923058
199.495	-1.5914000494756e-05	-9.31434233493503
158.533	-1.68114532174267e-05	-9.26068978693874
125.911	-1.44368373434335e-05	-9.34509323460507
100.009	-1.2601631646503e-05	-9.43213665409964
79.4083	-1.17522018505166e-05	-9.5611771084604
63.0971	-1.07056909446853e-05	-9.63245159552954
50.0083	-9.34026058595344e-06	-9.75060770346771
40.0059	-7.76108753543858e-06	-9.81894669345029
31.5793	-6.60213071318226e-06	-10.0018874173804
24.9911	-9.71405025695978e-06	-10.1628500155482
20.0011	-8.89390909860394e-06	-10.3480086817014
15.7934	-3.36303023211777e-06	-10.4573458623741
12.5002	-2.99672938492374e-06	-10.5131305255771
9.9987	-7.31691317599263e-07	-10.6351560917584
7.89389	-2.36718008594966e-06	-10.3789544160985
6.31623	-4.02952494041348e-06	-9.10630574592829
4.99748	-6.42015785543103e-06	-8.72936446983378
3.97302	-8.90481861269525e-06	-8.50394897275811
3.15718	-9.26706747859752e-06	-7.3977594865458
2.51085	-7.72455128070067e-06	-6.60380915448646
1.99489	-1.61715568732397e-06	-5.76821107800548
1.58325	-1.56839056963661e-06	-5.12875383660605
1.25729	2.98956666926808e-07	-4.71055031043227
1.00006	0.000100541233269787	-3.846247773129
0.794599	9.52043956020347e-05	-3.39523751505726
0.631058	9.92816471054253e-05	-3.09581491361786
0.501187	9.86509664513083e-05	-2.98527091442849
0.398272	0.000109076070526696	-2.98907454497783
0.316296	0.000110414231180425	-3.07360676009393
0.251206	0.00011295855006523	-3.07527669318334
0.199461	0.000115322699945899	-3.37680827672522
0.158526	0.000118156787287467	-3.72492689424197
0.125872	0.00011853905263456	-3.96422036316228
0.099994	0.00012280442468014	-4.60143543654109
0.079449	0.000118853368477759	-5.21770206080734
0.063103	0.000122461107559872	-6.20014855402083
0.050134	0.000122160131780261	-6.38661690560821
0.039809	0.000121676653624838	-8.4265502895609
0.031626	0.000120580461529857	-10.2461520161896
0.025116	0.000113229507696985	-12.0942720195747
0.019954	0.00011013362622641	-11.9975532124924
100007	-0.000485438967004297	2.45260541686358
79433.6	-0.000455044530228593	0.244877002702238
63105.5	-0.000377668831995001	-1.50209310154939
50123.7	-0.000308062606654732	-3.15006359458473
39811.2	-0.000255537783048233	-4.16681518871594
31634.1	-0.000227218074105951	-5.22644185166783
25123.7	-0.000185161702162326	-5.81033370499738
19954.4	-0.000155466726648884	-6.57808934518782
15852.9	-0.000153118448813117	-7.00145833034382
12587.2	-0.000139161576126192	-7.51570715011446
9998.2	-0.000127257734557187	-7.77352334907658
7942.6	-0.000107732261456053	-8.0184270021727
6311.1	-9.13097770144511e-05	-8.21804970634787
5011.18	-8.70001195421034e-05	-8.62447391338953
3980.93	-7.98319914168847e-05	-8.61745167266661
3162.67	-6.21517129385716e-05	-8.88672341632566
2511.16	-5.25790809482606e-05	-9.04025782260651
1995.37	-4.23434155393324e-05	-9.13545020103225
1584.49	-3.16732376535263e-05	-9.3001159271958
1259.04	-2.50436649217448e-05	-9.44875284869235
999.95	-2.06125696878355e-05	-9.56568904133018
794.163	-1.34914850211627e-05	-9.57462924953944
630.984	-6.9357093185382e-06	-9.54803665745888
501.303	-4.88715919635367e-06	-9.30920388066949
398.209	1.78088650152422e-06	-9.47499405290935
316.113	1.02704116718638e-05	-9.56623045869838
251.185	1.2746879941049e-05	-9.60204988764524
199.495	1.59443829686578e-05	-9.60341695683951
158.533	1.57310109589124e-05	-9.58957975214198
125.911	1.60389271878303e-05	-9.59998045532841
100.009	1.67112707465067e-05	-9.56926753754067
79.4083	1.80689416686076e-05	-9.55177958653417
63.0971	2.03636214483487e-05	-9.50220620952873
50.0083	1.89827461943564e-05	-9.52068490504232
40.0059	1.95996851835518e-05	-9.57880935585686
31.5793	2.23080114477204e-05	-9.44917585923105
24.9911	2.08109672028714e-05	-9.36917494042628
20.0011	2.07529638711667e-05	-9.17342919669953
15.7934	2.15265927546603e-05	-9.03450770248871
12.5002	2.57743442438779e-05	-8.71719420038787
9.9987	2.40638432607273e-05	-8.30016413196929
7.89389	2.70800510598002e-05	-7.65933007884115
6.31623	2.86760357043085e-05	-6.64429192813018
4.99748	2.59219443699943e-05	-6.00859355439453
3.97302	2.61612283701642e-05	-5.42806160970021
3.15718	2.26319253604436e-05	-4.41420654408387
2.51085	8.95702662461736e-06	-4.00522869315646
1.99489	1.06416784178352e-05	-3.38024779573197
1.58325	1.07093598760065e-05	-2.88697184999178
1.25729	1.22719897972843e-05	-2.62332209436258
1.00006	0.000104575252054679	-2.28110895919173
0.794599	0.000104937823150838	-2.10378897399776
0.631058	0.000107336295198739	-1.98628342071668
0.501187	0.000107768967860579	-1.88324159792741
0.398272	0.000109906060711779	-1.92867741070752
0.316296	0.000120517660281291	-1.99445738446926
